DVD_Bluray_Comb,year,date,rank,previous_rank,name,units_this_week,change,total_unites,spending_this_week,total_spending,weeks
dvd,2009,4-Jan,1,20,Eagle Eye,"1,044,682",472%,"1,227,274","$18,862,151 ","$22,164,401 ",2
dvd,2009,4-Jan,2,1,The Dark Knight,"471,611",-69%,"11,415,930","$7,425,610 ","$199,104,184 ",4
dvd,2009,4-Jan,3,2,Mamma Mia!,"404,323",-68%,"5,013,898","$9,262,070 ","$106,992,739 ",3
dvd,2009,4-Jan,4,-,Resident Evil: Degeneration,"236,203",,"236,203","$4,721,698 ","$4,721,698 ",2
dvd,2009,4-Jan,5,5,"Mummy: Tomb of the Dragon Emperor, The","223,562",-62%,"2,215,425","$3,739,142 ","$36,369,836 ",3
dvd,2009,4-Jan,6,10,Wanted,"223,353",-47%,"3,626,802","$3,716,951 ","$61,093,260 ",5
dvd,2009,4-Jan,7,4,Burn After Reading,"198,594",-68%,"827,740","$3,374,112 ","$14,063,303 ",2
dvd,2009,4-Jan,8,3,Death Race,"193,266",-70%,"835,106","$4,056,653 ","$17,528,875 ",2
dvd,2009,4-Jan,9,7,WALL-E,"190,280",-62%,"7,603,828","$2,768,802 ","$119,900,025 ",7
dvd,2009,4-Jan,10,8,"Chronicles of Narnia: Prince Caspian, The","181,481",-62%,"4,627,520","$2,713,831 ","$73,533,146 ",5
dvd,2009,4-Jan,11,6,Horton Hears a Who!,"168,580",-67%,"3,499,868","$2,444,292 ","$59,339,750 ",4
dvd,2009,4-Jan,12,-,"Duchess, The","155,867",,"155,867","$2,648,180 ","$2,648,180 ",2
dvd,2009,4-Jan,13,12,Step Brothers,"143,330",-62%,"2,795,741","$2,502,800 ","$49,092,480 ",5
dvd,2009,4-Jan,14,13,Hancock,"140,487",-61%,"4,716,437","$2,245,713 ","$80,702,916 ",6
dvd,2009,4-Jan,15,11,Kung Fu Panda,"135,788",-67%,"7,622,430","$2,035,462 ","$117,075,753 ",9
dvd,2009,4-Jan,16,-,"Office, The - Season Four","124,944",153%,"1,182,564","$2,461,397 ","$34,821,386 ",18
dvd,2009,4-Jan,17,9,"House Bunny, The","122,228",-73%,"721,973","$2,076,654 ","$12,266,321 ",3
dvd,2009,4-Jan,18,new,Beethoven's Big Break,"118,571",,"118,571","$2,370,234 ","$2,370,234 ",1
dvd,2009,4-Jan,19,-,Ghost Town,"117,213",,"117,213","$2,343,088 ","$2,343,088 ",2
dvd,2009,4-Jan,20,15,Iron Man,"107,607",-66%,"8,507,950","$1,753,822 ","$153,172,453 ",14
